,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,profit,status,s_spread,l_spread,tp_short,tp_long,tp_return,s_return,s_number,period,count,days,min_count
65,short_spread,2020-03-17 10:40:00,2020-03-19 16:25:00,B3SA3,BBAS3,buy,sell,29.3,25.01,10.68,10.15,1000.0,400.0,1186.0000000000002,close,0,-4,0,1,2470,-288,38,142,158,10,158
66,long_spread,2020-03-16 13:20:00,2020-03-17 15:15:00,ITSA4,ITUB4,sell,buy,24.09,25.81,9.24,9.68,1000.0,400.0,248.00000000000006,close,5,-1,-1,0,1126,-144,45,11,101,10,101
67,long_spread,2020-03-17 16:00:00,2020-03-19 11:55:00,ITSA4,ITUB4,sell,buy,24.87,21.2,9.38,8.28,1000.0,400.0,-367.9999999999993,close,5,-1,-1,0,1126,-144,45,11,101,10,101
68,long_spread,2020-03-19 13:15:00,2020-03-20 14:55:00,ITSA4,ITUB4,sell,buy,21.85,21.98,8.38,8.41,1000.0,400.0,22.00000000000024,close,5,-1,-1,0,1126,-144,45,11,101,10,101
69,short_spread,2020-03-16 13:50:00,2020-03-19 15:45:00,B3SA3,BBAS3,buy,sell,29.37,25.41,10.76,10.09,1000.0,400.0,914.0000000000006,close,1,-5,-1,1,2798,-247,26,28,247,10,247
70,long_spread,2020-03-17 16:15:00,2020-03-20 16:30:00,BBDC4,BBAS3,sell,buy,30.69,23.61,18.88,15.42,1000.0,600.0,-788.0000000000018,close,3,-2,-1,0,2365,-232,41,73,233,,233
71,short_spread,2020-03-19 12:15:00,2020-03-24 16:25:00,ITSA4,ITUB4,buy,sell,21.92,22.27,8.42,7.95,1000.0,400.0,-609.9999999999989,close,2,-5,-1,1,2195,-18,32,51,203,,203
72,long_spread,2020-03-20 10:40:00,2020-03-24 12:10:00,BBDC4,BBAS3,sell,buy,26.2,23.87,16.61,15.46,1000.0,600.0,-248.00000000000045,close,3,-2,-1,1,2867,-262,46,51,83,10,83
73,long_spread,2020-03-19 15:20:00,2020-03-20 12:50:00,BBDC4,BBAS3,sell,buy,25.16,25.67,16.74,16.34,1000.0,700.0,756.9999999999997,close,1,0,0,0,2247,-150,46,61,51,10,51
74,long_spread,2020-03-20 13:15:00,2020-03-23 10:50:00,BBDC4,BBAS3,sell,buy,25.16,21.91,16.0,14.26,1000.0,600.0,-209.99999999999977,close,1,0,0,0,2247,-150,46,61,51,10,51
75,long_spread,2020-03-24 10:45:00,2020-03-24 15:00:00,BBDC4,BBAS3,sell,buy,23.63,24.67,15.27,15.83,1000.0,600.0,64.00000000000114,close,1,0,0,0,2247,-150,46,61,51,10,51
76,short_spread,2020-03-24 15:05:00,2020-03-25 13:10:00,BBDC4,BBAS3,buy,sell,24.58,26.82,15.72,17.11,1000.0,600.0,45.999999999997726,close,1,0,0,0,2247,-150,46,61,51,10,51
77,long_spread,2020-03-20 11:15:00,2020-03-24 15:25:00,ITSA4,ITUB4,sell,buy,21.88,22.32,8.59,8.02,1000.0,400.0,746.0000000000007,close,2,-2,-1,0,744,-57,26,12,209,10,209
78,short_spread,2020-03-24 13:05:00,2020-03-27 12:10:00,ITSA4,ITUB4,buy,sell,22.26,22.51,8.04,8.46,1000.0,400.0,320.0000000000017,close,2,-5,-1,1,2195,-18,32,51,203,10,203
79,short_spread,2020-03-24 15:00:00,2020-03-27 12:10:00,ITSA4,ITUB4,buy,sell,22.04,22.51,7.98,8.46,1000.0,400.0,291.9999999999995,close,2,-5,-1,1,2195,-18,32,51,203,10,203
80,short_spread,2020-04-23 12:25:00,2020-04-27 14:45:00,ITSA4,BBAS3,buy,sell,28.04,24.41,8.73,8.4,1000.0,300.0,758.9999999999998,close,0,-2,-1,1,2169,-295,42,26,191,10,191
81,long_spread,2020-04-27 12:40:00,2020-04-28 16:35:00,ITSA4,BBAS3,sell,buy,24.96,27.9,8.59,8.98,1000.0,300.0,491.99999999999875,close,1,0,0,1,1029,-239,26,111,128,10,128
82,short_spread,2020-04-28 16:40:00,2020-04-30 13:45:00,ITSA4,BBAS3,buy,sell,27.89,27.14,8.99,8.73,1000.0,300.0,-34.99999999999977,close,1,0,0,1,1029,-239,26,111,128,10,128
83,short_spread,2020-04-28 14:35:00,2020-04-30 13:20:00,ITSA4,BBAS3,buy,sell,27.24,26.97,8.98,8.72,1000.0,300.0,-178.9999999999999,close,1,-3,0,1,1323,-186,41,121,61,10,61
84,short_spread,2020-04-30 15:40:00,2020-05-04 14:05:00,ITSA4,BBAS3,buy,sell,27.0,25.87,8.71,8.39,1000.0,300.0,18.99999999999943,close,1,-3,0,1,1323,-186,41,121,61,10,61
85,short_spread,2020-04-29 15:10:00,2020-04-30 15:25:00,ITSA4,BBAS3,buy,sell,27.91,27.08,8.94,8.72,1000.0,300.0,29.000000000001705,close,0,-2,0,1,1389,-233,34,141,82,10,82
86,short_spread,2020-04-30 16:15:00,2020-05-05 12:00:00,ITSA4,BBAS3,buy,sell,26.98,27.09,8.71,8.67,1000.0,300.0,-73.00000000000075,close,0,-2,0,1,1389,-233,34,141,82,10,82
